customer Code	Item Code	Date	Qty	Val
814288	RN1556	11062019	5	45.00000
241052	RN1505	11062019	10	18.00000
261873	RN1507	11062019	5	45.00000
261873	RN1655	11062019	200	9.00000
261912	RN1457	11062019	3	45.00000
261873	RN1556	11062019	10	45.00000
246261	RN1505	12062019	20	90.00000
246261	RN1507	12062019	10	27.00000
262466	RN1507	12062019	3	45.00000
262466	RN1551	12062019	3	9.00000
262908	RN1505	12062019	3	18.00000
262908	RN1655	12062019	3	9.00000
262908	RN1507	12062019	3	18.00000
262908	RN1661	12062019	5	990.00000
262908	RN1476	12062019	2	45.00000
245362	RN1654	12062019	10	27.00000
243232	RN1654	12062019	3	27.00000
245210	RN1551	12062019	3	90.00000
242037	RN1654	12062019	10	27.00000
824026	RN1655	12062019	10	0.00000
631488	RN1655	12062019	5	27.00000
264493	RN1654	12062019	3	45.00000
264493	RN1655	12062019	5	90.00000
264493	RN1505	12062019	5	90.00000
263501	RN1655	13062019	50	45.00000
611257	RN1505	13062019	1	108.00000
262444	RN1655	13062019	3	27.00000
262444	RN1654	13062019	5	18.00000
255237	RN1551	13062019	10	45.00000
611019	RN1457	13062019	20	90.00000
261130	RN2702	15062019	2	45.00000
261130	RN1556	15062019	3	45.00000
612395	RN1507	15062019	10	180.00000
651069	RN1654	15062019	3	27.00000
262196	RN1654	16062019	1	27.00000
612606	RR1716	17062019	2	63.00000
412030	RN1611	17062019	1	180.00000
252141	RN1556	17062019	3	27.00000
262908	RN2702	17062019	5	18.00000
262908	RN1506	17062019	25	9.00000
262908	RN1661	17062019	5	45.00000
262908	RN1457	17062019	10	9.00000
262908	RN1655	17062019	5	27.00000
261511	RN1507	18062019	1	45.00000
261283	RN2702	18062019	1	18.00000
261283	RN1507	18062019	1	27.00000
261912	RN1556	18062019	5	45.00000
241018	rr1509	18062019	5	27.00000
241018	RN1476	18062019	3	72.00000
612103	RR1716	18062019	3	27.00000
262092	RN1551	19062019	3	9.00000
242093	RR1475	19062019	10	27.00000
263372	RR1716	20062019	1	45.00000
242093	RN1556	20062019	3	45.00000
243249	RN1654	20062019	3	135.00000
243249	RN1655	20062019	2	45.00000
245233	RN1654	20062019	5	45.00000
245233	RN1655	20062019	3	45.00000
254110	RN1507	20062019	1	90.00000
264471	RN1655	20062019	1	45.00000
631079	RN1655	20062019	2	27.00000
255457	RN1655	20062019	5	90.00000
255457	RN1654	20062019	2	45.00000
612606	RR1716	20062019	1	135.00000
262908	RN1655	20062019	10	27.00000
262908	rr1509	20062019	3	18.00000
262908	RN1457	20062019	1	45.00000
262908	RN2702	20062019	2	90.00000
262908	RN1611	20062019	4	45.00000
262908	RN1506	20062019	3	45.00000
262908	RN1610	20062019	3	27.00000
264203	RN1655	20062019	5	180.00000
411122	RN1655	20062019	5	9.00000
611357	RN1654	20062019	3	45.00000
611357	RN1655	20062019	10	27.00000
246473	RN1655	20062019	1	45.00000
246031	RR1716	22062019	2	18.00000
631116	RN1655	22062019	2	18.00000
631273	RN1655	22062019	2	27.00000
