State Fiscal Year End Date,Operator Name,Total Inspections,Failed Inspections,Operator ID,City,Region,Day,Month,Year
7/7/1905,CMF_TRANS_CORP.,2,0,664,Amsterdam,1,7,7,1905
7/7/1905,COAST_2_COAST_TRANSPORTATION,4,0,668,New york,11,7,7,1905
7/7/1905,COBLESKILL_RICHMONDVILLE_C/S,134,0,670,Cobleskill,1,7,7,1905
7/7/1905,COE_TRANSP.,1,0,671,New rochelle,11,7,7,1905
7/7/1905,COLONIAL_TRANSPORTATION,17,0,674,Sayville,10,7,7,1905
7/7/1905,COMFORT_AMBULETTE_SERVICE_INC.,7,0,677,New york,11,7,7,1905
7/7/1905,"COMFORT_EXPRESS,_INC",6,0,678,Staten island,11,7,7,1905
7/7/1905,COMMONWEALTH_WORLDWIDE_CHUFFERED_TR,0,0,679,Long island city,11,7,7,1905
7/7/1905,COMMUNITY_SERV_FOR_THE_DEVELOP_DISA,0,0,680,Kenmore,5,7,7,1905
7/7/1905,COMSEWOGUE_CSD,2,0,682,Port jefferson sta,10,7,7,1905
7/7/1905,CONG._BAIS_MALKA_INC.,15,0,684,Monsey,8,7,7,1905
7/7/1905,CONG._BNEI_MELUCHIM_INC.,1,0,687,Monsey,8,7,7,1905
7/7/1905,CONG._BNEI_SHLOMO,2,0,688,Brooklyn,11,7,7,1905
7/7/1905,CONG_DARKEI_AVOS_SANZ_INC.,3,0,689,Brooklyn,11,7,7,1905
7/7/1905,CONG._NOIAM_MGODIM,4,0,693,Spring valley,8,7,7,1905
7/7/1905,CONG_RECHEV_YISROEL,7,0,694,Brooklyn,11,7,7,1905
7/7/1905,CONGREGATION_ADAS_YEREIM,1,0,695,Brooklyn,11,7,7,1905
7/7/1905,CONGREGATION_ADAS_YEREIM_OF_MONSEY,5,0,696,Springvalley,8,7,7,1905
7/7/1905,CONGREGATION_AHAVAS_SHULEM,8,0,697,Brooklyn,11,7,7,1905
7/7/1905,CONGREGATION_BOBOVER_YESHIVA_OF_MON,5,0,699,Monsey,11,7,7,1905
7/7/1905,CONGREGATION_CHASDEI_CHAYA,4,0,700,Brooklyn,11,7,7,1905
7/7/1905,CONGREGATION_KEREN_HACHESED,3,0,701,Brooklyn,11,7,7,1905
7/7/1905,CONGREGATION_MATEN_TORAH,2,0,702,Brooklyn,11,7,7,1905
7/7/1905,CONGREGATION_TORAS_EMACHU_INC.,4,0,704,Monsey,11,7,7,1905
7/7/1905,CONG_YESHIVA_BEIS_CHAYA_MUSHKA,4,0,705,Brooklyn,11,7,7,1905
7/7/1905,CONG._YESHIVA_BETH_MIKROH,2,0,706,Monsey,8,7,7,1905
7/7/1905,COOL_RUNNINZ_INC.,0,0,709,Brooklyn,11,7,7,1905
7/7/1905,COOPERSTOWN_HOP_ON_TOURS,0,0,711,Milford,2,7,7,1905
7/7/1905,CORAL_DAYCARE,2,0,713,Valley cottage,8,7,7,1905
7/7/1905,CORBETT_COACH_INC,1,0,714,Little neck,11,7,7,1905
7/7/1905,COUNTY_EXPRESS_LLC,3,0,722,Springfield gardens,11,7,7,1905
7/7/1905,"COUNTY_OF_ERIE,_DBA_DEPARTMENT_OF_S",0,0,723,Buffalo,5,7,7,1905
7/7/1905,CP_LIMOUSINE_&_CONSULTING_SERVICES,1,0,730,New york,11,7,7,1905
7/7/1905,C_&_P_TRANSPORTATION,2,0,731,Woodside,11,7,7,1905
7/7/1905,CREATIVE_CHILD_DAY_CARE_CENTER,6,0,733,Kenmore,5,7,7,1905
7/7/1905,CRISTAR_ENTERPRISE_CORP,3,0,737,Flushing,11,7,7,1905
7/7/1905,CRISTO_REY_NY_HIGH_SCHOOL,0,0,738,New york,11,7,7,1905
7/7/1905,"CRYSTAL_COACH_CHARTERS,_INC.",0,0,742,Herkimer,2,7,7,1905
7/7/1905,CRYSTAL_TOUR_INC.,1,0,743,Brooklyn,11,7,7,1905
7/7/1905,CUBA-RUSHFORD_CENTRAL_SCHOOL,45,0,744,Cuba,4,7,7,1905
7/7/1905,CU_TRANSIT_INC.,0,0,747,Ithaca,3,7,7,1905
7/7/1905,CUTTING_EDGE_TAE_KWON_DO_INC.,2,0,748,Saratoga springs,1,7,7,1905
7/7/1905,DANIEL_HN_R_INC,1,0,752,Flushing,11,7,7,1905
7/7/1905,DANIELLE'S_LIMOUSINE,1,0,753,Franklin square,10,7,7,1905
7/7/1905,DANIEL'S_I_INC,1,0,754,Bronx,11,7,7,1905
7/7/1905,DANNYS_LIMO_NY_INC,2,0,755,Elmont,11,7,7,1905
7/7/1905,DANSVILLE_CENTRAL_SCHOOL,81,0,756,Dansville,4,7,7,1905
7/7/1905,D_&_A_TOURS,3,0,758,Lacona,3,7,7,1905
7/7/1905,DAVID_AUTO_INC.,6,0,759,Staten island,11,7,7,1905
7/7/1905,DAVID_BROS._TAXI_INC.,25,0,760,Bayshore,10,7,7,1905
7/7/1905,DAY_N_NITE_TOURS_AND_LIMOUSINE_SVC,0,0,761,Bronx,11,7,7,1905
7/7/1905,DAZZLE_SCHOOL_OF_VISUAL_&_PERFORMIN,0,0,762,Rochester,4,7,7,1905
7/7/1905,DBA_POLAR_EXPRESS_TRANS._SERVICES,2,0,763,Saranac lake,1,7,7,1905
7/7/1905,D_&_D_DAY_CARE_INC.,3,0,767,Uniondale,10,7,7,1905
7/7/1905,DEDICATED_TRANSPORTATION_INC,3,0,769,Queens village,11,7,7,1905
7/7/1905,DEEDS_TRANSIT_LLC,1,0,770,New york,11,7,7,1905
7/7/1905,DEERWOODS_TRAVEL_INC,1,0,772,New york,11,7,7,1905
7/7/1905,DEFILE_TRANSPORTATION_INC.,19,0,773,Rhinebeck,8,7,7,1905
7/7/1905,"DELFENIC_ENTERPRISES,_INC",0,0,777,Bronx,11,7,7,1905
7/7/1905,DELL_TRANSPORTATION_CORP.,220,0,778,Port washington,10,7,7,1905
7/7/1905,"DEPAUL_ADULT_CARE_COMMUNITIES,_INC",0,0,781,Cheektowaga,5,7,7,1905
7/7/1905,DEPENDABLE_BUS_SERVICE,8,0,783,Staten island,11,7,7,1905
7/7/1905,DESHI_MANAGEMENT_INC,6,0,788,Brooklyn,11,7,7,1905
7/7/1905,DESIGNER_LIMOUSINE_INC,0,0,789,Port washington,11,7,7,1905
7/7/1905,DEVELOPMENTAL_DISABILITIES_INST_INC,37,0,793,Smithtown,10,7,7,1905
7/7/1905,"DEVEREUX_FOUNDATION,_DBA_THE_DEVERE",0,0,794,Red hook,8,7,7,1905
7/7/1905,DEVILLE_BUS_CO_INC,0,0,795,Brooklyn,11,7,7,1905
7/7/1905,D.H.&_E_TRANSPORTATION_INC,3,0,798,Brooklyn,11,7,7,1905
7/7/1905,DIAMOND_JOURNEY_INC,7,0,799,Brooklyn,11,7,7,1905
7/7/1905,DIANA_RESTREPO_DBA_JV_TOURS,2,0,802,E. elmhurst,11,7,7,1905
7/7/1905,"DIGNITY_TRANSPORT,_LLC",1,0,805,Rockville center,10,7,7,1905
7/7/1905,D_&_I_LUXURY_TRANSPORTATION_INC,0,0,806,Glendale,11,7,7,1905
7/7/1905,D&J_SERVICE_INC,62,0,807,Bronx,11,7,7,1905
7/7/1905,D.J._THE_DEE_JAY_MUSIC_AND_LIMOUSIN,9,0,808,Niagara falls,5,7,7,1905
7/7/1905,D.L.C._LIMOUSINE_SERVICE_INC.,3,0,809,White plains,8,7,7,1905
7/7/1905,D.N.S._TRANSPORTATION,1,0,811,Rego park,10,7,7,1905
7/7/1905,DOMINICAN_VILLAGE,0,0,814,Amityville,10,7,7,1905
7/7/1905,DON_BROWN_BUS_SALES_(JOHNSTOWN),0,0,815,Johnstown,1,7,7,1905
7/7/1905,"DON_BROWN_BUS_SALES,_LI,NYC",0,0,816,Bayshore,10,7,7,1905
7/7/1905,DOODLE_BUGS!_CHILDREN'S_CENTERS,6,0,819,Cheektowaga,4,7,7,1905
7/7/1905,D&O_TRANSPORTATION_SERVICES_INC,2,0,822,"Roosevelt,",10,7,7,1905
7/7/1905,DOWNSVILLE_CENTRAL_SCHOOL,32,0,824,Downsville,2,7,7,1905
7/7/1905,DPC_LIMOUSINE_LLC,0,0,825,Queensbury,1,7,7,1905
7/7/1905,DRIVEN_GLOBAL_LLC,0,0,826,Queens village,10,7,7,1905
7/7/1905,D_&_T_TRANSPORT_LLC,8,0,829,New hartford,2,7,7,1905
7/7/1905,DUNKIRK_CITY_SCHOOLS,6,0,833,Dunkirk,5,7,7,1905
7/7/1905,DURAMA_TOURS_INC.,5,0,834,Woodside,11,7,7,1905
7/7/1905,DUTCHESS_DAY_SCHOOL,2,0,845,Millbrook,8,7,7,1905
7/7/1905,DUVOR_TOV,4,0,846,Bedford hills,11,7,7,1905
7/7/1905,DWIGHT_SCHOOL,3,0,847,New york,11,7,7,1905
7/7/1905,D_&_W_TOUR_NY_INC,2,0,849,Brooklyn,11,7,7,1905
7/7/1905,EAGLE_TOURS_INC.,10,0,851,Brooklyn,10,7,7,1905
7/7/1905,EARL_A._TITUS,2,0,852,Painted post,4,7,7,1905
7/7/1905,EASTERN_COACH_INC,28,0,857,New york,11,7,7,1905
7/7/1905,EASTERN_SUFFOLK_TRANSPORTATION_LLC,3,0,859,East marion,10,7,7,1905
7/7/1905,EASTERN_VAN_SERVICE_LLC,2,0,860,Flushing,11,7,7,1905
7/7/1905,EAST_GREENBUSH_CENTRAL_SCHOOL,236,0,861,East greenbush,1,7,7,1905
7/7/1905,EAST_ROCKAWAY_U.F.S.D.,8,0,865,East rockaway,10,7,7,1905
7/7/1905,EC2_BUS_CORP,3,0,872,Flushing,11,7,7,1905
7/7/1905,ECMC_LIFELINE_FOUNDATION,0,0,873,Buffalo,5,7,7,1905
7/7/1905,ECS_TRANSPORTATION_LLC,0,0,874,Norwalk,11,7,7,1905
7/7/1905,EDEN'S_TRANSPORTATION_CORPORATION,2,0,876,"Hollis,",11,7,7,1905
7/7/1905,EDGEMONT_UNION_FREE_SCHOOL_DIS,4,0,877,Scarsdale,8,7,7,1905
7/7/1905,EDISON_TECHNICAL_&_OCCUPATIONAL_CEN,0,0,879,Rochester,4,7,7,1905
7/7/1905,EDMESTON_CENTRAL_SCHOOL,39,0,880,Edmeston,2,7,7,1905
7/7/1905,EDUCATIONAL_BUS_TRANSPORT_(HUDSON),39,0,884,Copiague,10,7,7,1905
7/7/1905,EDUCATIONAL_INST._OHOLEI_TORAH,0,0,886,Brooklyn,10,7,7,1905
7/7/1905,EDUMATTERS_LLC.,1,0,888,Valley stream,11,7,7,1905
7/7/1905,EDWARDS_KNOX_CENTRAL_SCHOOL,45,0,889,Russell,3,7,7,1905
7/7/1905,"EIHAB_HUMAN_SERVICES,_INC",0,0,893,Springfield gardens,11,7,7,1905
7/7/1905,ELDRED_CENTRAL_SCHOOL,40,0,897,Eldred,8,7,7,1905
7/7/1905,ELEGANTE_SERVICES_INC.,4,0,898,Bronx,8,7,7,1905
7/7/1905,ELLENVILLE_CENTRAL_SCHOOL,0,0,902,Ellenville,8,7,7,1905
7/7/1905,ELLICOTTVILLE_CENTRAL_SCHOOL,38,0,903,Ellicottville,5,7,7,1905
7/7/1905,EMANUEL_LUTHERAN_CHURCH,4,0,909,Patchogue,10,7,7,1905
7/7/1905,EMA'S_AMBULETTE_INC.,0,0,910,Flushing,11,7,7,1905
7/7/1905,EMERALD_TRANSPORTATION,7,0,911,Bayside,10,7,7,1905
7/7/1905,EMES_TRANSPORTATION_INC,7,0,912,Monsey,11,7,7,1905
7/7/1905,EMILY_TRANSPORT_LTD,2,0,913,Bronx,11,7,7,1905
7/7/1905,EMPIRE_BUS_SALES_LLC,0,0,916,Horseheads,4,7,7,1905
7/7/1905,EMPIRE_CHARTER_SERVICE_INC,3,0,917,Brooklyn,11,7,7,1905
7/7/1905,EMPIRE_LINK_CORPORATION,16,0,920,Jamaica,11,7,7,1905
7/7/1905,EM_STAR_AMBULANCE_INC.,20,0,925,Fishkill,8,7,7,1905
7/7/1905,"ENDEAVOR_TRANSPORTATION,_LLC",4,0,927,Old bridge,11,7,7,1905
7/7/1905,ENDICOTT-UNION_INC,0,0,928,Bronx,8,7,7,1905
7/7/1905,ENNEL_ENTERPRISES,7,0,930,Long island city,11,7,7,1905
